pairing,game_number,seed,bot_p1,bot_p2,winner_index,turn_number,actions,status,reason
random_vs_random,83,1349409434,random,random,0,14,168,finished,
random_vs_random,84,1699887270,random,random,0,12,170,finished,
random_vs_random,85,1963764597,random,random,0,12,122,finished,
random_vs_random,86,40009587,random,random,0,14,187,finished,
random_vs_random,87,314652384,random,random,0,13,152,finished,
random_vs_random,88,568896616,random,random,0,15,165,finished,
random_vs_random,89,1049193572,random,random,0,12,153,finished,
random_vs_random,90,677517496,random,random,1,11,146,finished,
random_vs_random,91,33599984,random,random,0,12,122,finished,
random_vs_random,92,576775951,random,random,0,8,88,finished,
random_vs_random,93,459716009,random,random,0,13,173,finished,
random_vs_random,94,1210133979,random,random,0,13,150,finished,
random_vs_random,95,874443787,random,random,0,15,164,finished,
random_vs_random,96,1078557553,random,random,0,12,146,finished,
random_vs_random,97,1819244083,random,random,0,14,132,finished,
random_vs_random,98,15228622,random,random,0,12,155,finished,
random_vs_random,99,1125089309,random,random,1,10,121,finished,
random_vs_random,100,1836901321,random,random,0,16,208,finished,
heuristic_vs_random,1,1220134010,heuristic,random,0,12,178,finished,
heuristic_vs_random,2,1088114372,heuristic,random,0,12,160,finished,
heuristic_vs_random,3,1483304959,heuristic,random,0,12,150,finished,
heuristic_vs_random,4,1731827867,heuristic,random,1,10,137,finished,
heuristic_vs_random,5,1403100199,heuristic,random,0,10,107,finished,
heuristic_vs_random,6,1031836319,heuristic,random,0,13,176,finished,
heuristic_vs_random,7,123194438,heuristic,random,0,13,170,finished,
heuristic_vs_random,8,1334662560,heuristic,random,0,11,143,finished,
heuristic_vs_random,9,1180006217,heuristic,random,0,14,202,finished,
heuristic_vs_random,10,473164854,heuristic,random,0,11,149,finished,
heuristic_vs_random,11,723117229,heuristic,random,0,8,93,finished,
heuristic_vs_random,12,132388776,heuristic,random,0,14,168,finished,
heuristic_vs_random,13,404961589,heuristic,random,0,15,180,finished,
heuristic_vs_random,14,1443632714,heuristic,random,0,14,180,finished,
heuristic_vs_random,15,21032064,heuristic,random,0,11,180,finished,
heuristic_vs_random,16,848001414,heuristic,random,0,14,160,finished,
heuristic_vs_random,17,588710776,heuristic,random,0,15,184,finished,
heuristic_vs_random,18,1546414826,heuristic,random,0,14,194,finished,
heuristic_vs_random,19,1265946396,heuristic,random,1,12,156,finished,
heuristic_vs_random,20,1127387768,heuristic,random,0,12,136,finished,
heuristic_vs_random,21,867511351,heuristic,random,0,11,154,finished,
heuristic_vs_random,22,1837543646,heuristic,random,0,15,194,finished,
heuristic_vs_random,23,1571031809,heuristic,random,0,15,176,finished,
heuristic_vs_random,24,1312851631,heuristic,random,0,9,109,finished,
heuristic_vs_random,25,248786035,heuristic,random,0,13,121,finished,
heuristic_vs_random,26,1564638437,heuristic,random,1,10,130,finished,
heuristic_vs_random,27,1296856058,heuristic,random,0,10,124,finished,
heuristic_vs_random,28,1753716424,heuristic,random,0,13,149,finished,
heuristic_vs_random,29,1888428875,heuristic,random,0,14,184,finished,
heuristic_vs_random,30,762041970,heuristic,random,0,12,164,finished,
heuristic_vs_random,31,661852659,heuristic,random,0,14,184,finished,
heuristic_vs_random,32,81360494,heuristic,random,0,13,151,finished,
heuristic_vs_random,33,15298185,heuristic,random,0,12,158,finished,
heuristic_vs_random,34,26070910,heuristic,random,0,12,164,finished,
heuristic_vs_random,35,373417676,heuristic,random,0,16,195,finished,
heuristic_vs_random,36,817188145,heuristic,random,0,10,87,finished,
heuristic_vs_random,37,732902695,heuristic,random,0,14,164,finished,
heuristic_vs_random,38,277817986,heuristic,random,0,13,162,finished,
heuristic_vs_random,39,160523018,heuristic,random,0,16,210,finished,
heuristic_vs_random,40,1563007567,heuristic,random,0,15,185,finished,
heuristic_vs_random,41,1564195294,heuristic,random,0,14,217,finished,
heuristic_vs_random,42,476333140,heuristic,random,0,14,190,finished,
heuristic_vs_random,43,624635153,heuristic,random,0,11,141,finished,
heuristic_vs_random,44,1662122724,heuristic,random,0,12,178,finished,
heuristic_vs_random,45,153837128,heuristic,random,0,12,161,finished,
heuristic_vs_random,46,70601097,heuristic,random,0,15,185,finished,
heuristic_vs_random,47,1154660746,heuristic,random,0,11,139,finished,
heuristic_vs_random,48,634433425,heuristic,random,0,12,154,finished,
heuristic_vs_random,49,1519349619,heuristic,random,0,14,172,finished,
heuristic_vs_random,50,1056583735,heuristic,random,0,14,188,finished,
heuristic_vs_random,51,37706536,heuristic,random,0,11,151,finished,
heuristic_vs_random,52,1890211973,heuristic,random,0,13,192,finished,
heuristic_vs_random,53,774909129,heuristic,random,0,14,176,finished,
heuristic_vs_random,54,996555208,heuristic,random,0,9,125,finished,
heuristic_vs_random,55,870447584,heuristic,random,0,14,187,finished,
heuristic_vs_random,56,419186990,heuristic,random,0,15,175,finished,
heuristic_vs_random,57,2054524178,heuristic,random,0,13,145,finished,
heuristic_vs_random,58,383376794,heuristic,random,0,12,157,finished,
heuristic_vs_random,59,1912725640,heuristic,random,1,11,121,finished,
heuristic_vs_random,60,1969001362,heuristic,random,0,12,142,finished,
heuristic_vs_random,61,976083382,heuristic,random,0,14,161,finished,
heuristic_vs_random,62,155715387,heuristic,random,0,14,174,finished,
heuristic_vs_random,63,1511672718,heuristic,random,0,11,154,finished,
heuristic_vs_random,64,1111653267,heuristic,random,1,9,113,finished,
heuristic_vs_random,65,156068089,heuristic,random,0,15,183,finished,
heuristic_vs_random,66,990193845,heuristic,random,0,14,168,finished,
heuristic_vs_random,67,1362331953,heuristic,random,1,7,117,finished,
heuristic_vs_random,68,735953310,heuristic,random,0,14,161,finished,
heuristic_vs_random,69,1240510034,heuristic,random,0,11,142,finished,
heuristic_vs_random,70,388755897,heuristic,random,0,12,121,finished,
heuristic_vs_random,71,85118441,heuristic,random,0,12,160,finished,
heuristic_vs_random,72,1535486225,heuristic,random,0,10,113,finished,
heuristic_vs_random,73,783638510,heuristic,random,0,11,141,finished,
heuristic_vs_random,74,33616186,heuristic,random,0,12,141,finished,
heuristic_vs_random,75,317159403,heuristic,random,0,8,104,finished,
heuristic_vs_random,76,1503478829,heuristic,random,0,13,189,finished,
heuristic_vs_random,77,1302931945,heuristic,random,0,12,120,finished,
heuristic_vs_random,78,2063459941,heuristic,random,0,11,145,finished,
heuristic_vs_random,79,766078249,heuristic,random,0,15,206,finished,
heuristic_vs_random,80,254098994,heuristic,random,0,12,139,finished,
heuristic_vs_random,81,30986103,heuristic,random,0,12,152,finished,
heuristic_vs_random,82,1176313504,heuristic,random,0,12,148,finished,
heuristic_vs_random,83,207297913,heuristic,random,0,13,168,finished,
heuristic_vs_random,84,1341674296,heuristic,random,0,12,157,finished,
heuristic_vs_random,85,1230004048,heuristic,random,0,12,157,finished,
heuristic_vs_random,86,1943985567,heuristic,random,0,12,157,finished,
heuristic_vs_random,87,513319246,heuristic,random,0,13,164,finished,
heuristic_vs_random,88,131680034,heuristic,random,0,13,184,finished,
heuristic_vs_random,89,1882879515,heuristic,random,0,13,156,finished,
heuristic_vs_random,90,1443316137,heuristic,random,0,10,133,finished,
heuristic_vs_random,91,1207231693,heuristic,random,0,10,124,finished,
heuristic_vs_random,92,1522099085,heuristic,random,1,10,143,finished,
heuristic_vs_random,93,548107236,heuristic,random,0,13,162,finished,
heuristic_vs_random,94,1051662824,heuristic,random,0,14,168,finished,
heuristic_vs_random,95,1916322317,heuristic,random,0,13,141,finished,
heuristic_vs_random,96,793892806,heuristic,random,0,12,155,finished,
heuristic_vs_random,97,848415870,heuristic,random,0,14,167,finished,
heuristic_vs_random,98,995415365,heuristic,random,0,14,147,finished,
heuristic_vs_random,99,2029704518,heuristic,random,0,9,80,finished,
heuristic_vs_random,100,1894002657,heuristic,random,0,11,128,finished,
random_vs_heuristic,1,1285120978,random,heuristic,0,12,161,finished,
random_vs_heuristic,2,706082783,random,heuristic,0,12,183,finished,
random_vs_heuristic,3,795677589,random,heuristic,0,13,175,finished,
random_vs_heuristic,4,1895843113,random,heuristic,0,12,138,finished,
random_vs_heuristic,5,307853806,random,heuristic,1,11,168,finished,
random_vs_heuristic,6,1377043757,random,heuristic,0,11,128,finished,
random_vs_heuristic,7,1441936833,random,heuristic,0,14,142,finished,
random_vs_heuristic,8,1611360780,random,heuristic,0,14,168,finished,
random_vs_heuristic,9,35876148,random,heuristic,0,13,171,finished,
random_vs_heuristic,10,740742081,random,heuristic,0,13,145,finished,
random_vs_heuristic,11,823226968,random,heuristic,0,14,210,finished,
random_vs_heuristic,12,1920971905,random,heuristic,0,15,186,finished,
random_vs_heuristic,13,722401538,random,heuristic,0,13,168,finished,
random_vs_heuristic,14,1530369864,random,heuristic,0,13,160,finished,
random_vs_heuristic,15,1133256069,random,heuristic,0,12,152,finished,
random_vs_heuristic,16,687762863,random,heuristic,0,12,159,finished,
random_vs_heuristic,17,1932976827,random,heuristic,0,13,184,finished,
random_vs_heuristic,18,1514743274,random,heuristic,0,12,163,finished,
random_vs_heuristic,19,1915048702,random,heuristic,0,16,231,finished,
random_vs_heuristic,20,1410405898,random,heuristic,0,11,109,finished,
random_vs_heuristic,21,1295936564,random,heuristic,0,15,198,finished,
random_vs_heuristic,22,760505953,random,heuristic,0,10,109,finished,
random_vs_heuristic,23,1502271453,random,heuristic,0,17,221,finished,
random_vs_heuristic,24,1287819895,random,heuristic,0,18,178,finished,
random_vs_heuristic,25,591129979,random,heuristic,0,15,185,finished,
random_vs_heuristic,26,1980294770,random,heuristic,0,13,152,finished,
random_vs_heuristic,27,815283684,random,heuristic,0,11,156,finished,
random_vs_heuristic,28,290544869,random,heuristic,0,12,164,finished,
random_vs_heuristic,29,1563277313,random,heuristic,0,12,150,finished,
random_vs_heuristic,30,576048903,random,heuristic,1,11,133,finished,
random_vs_heuristic,31,166362887,random,heuristic,0,9,119,finished,
random_vs_heuristic,32,1250281281,random,heuristic,0,11,146,finished,
random_vs_heuristic,33,2137014054,random,heuristic,0,11,110,finished,
random_vs_heuristic,34,1627501822,random,heuristic,1,13,191,finished,
random_vs_heuristic,35,1114802800,random,heuristic,0,11,122,finished,
random_vs_heuristic,36,1285326230,random,heuristic,0,11,106,finished,
random_vs_heuristic,37,974588901,random,heuristic,0,17,179,finished,
random_vs_heuristic,38,1524178289,random,heuristic,0,10,99,finished,
random_vs_heuristic,39,1104119078,random,heuristic,0,15,186,finished,
random_vs_heuristic,40,1238612028,random,heuristic,0,13,179,finished,
random_vs_heuristic,41,362886971,random,heuristic,0,12,169,finished,
random_vs_heuristic,42,753921880,random,heuristic,0,10,92,finished,
random_vs_heuristic,43,583768343,random,heuristic,0,14,181,finished,
random_vs_heuristic,44,1047049444,random,heuristic,0,13,182,finished,
random_vs_heuristic,45,792436975,random,heuristic,0,13,157,finished,
random_vs_heuristic,46,1608144340,random,heuristic,0,12,156,finished,
random_vs_heuristic,47,1356877801,random,heuristic,0,13,158,finished,
random_vs_heuristic,48,1914134308,random,heuristic,0,13,145,finished,
random_vs_heuristic,49,796508147,random,heuristic,0,12,154,finished,
random_vs_heuristic,50,553478343,random,heuristic,0,15,188,finished,
random_vs_heuristic,51,1546660339,random,heuristic,0,14,196,finished,
random_vs_heuristic,52,1649878857,random,heuristic,0,13,155,finished,
random_vs_heuristic,53,771889703,random,heuristic,0,14,193,finished,
random_vs_heuristic,54,819637805,random,heuristic,0,12,127,finished,
random_vs_heuristic,55,716198392,random,heuristic,0,11,117,finished,
random_vs_heuristic,56,2041757882,random,heuristic,0,12,156,finished,
random_vs_heuristic,57,249183421,random,heuristic,0,14,163,finished,
random_vs_heuristic,58,1480505249,random,heuristic,0,15,209,finished,
random_vs_heuristic,59,39045410,random,heuristic,1,12,173,finished,
random_vs_heuristic,60,1008484980,random,heuristic,0,10,115,finished,
random_vs_heuristic,61,2105268500,random,heuristic,0,12,153,finished,
random_vs_heuristic,62,1765246951,random,heuristic,0,12,122,finished,
random_vs_heuristic,63,1593986750,random,heuristic,0,12,151,finished,
random_vs_heuristic,64,203203978,random,heuristic,0,12,150,finished,
random_vs_heuristic,65,1949127786,random,heuristic,0,10,152,finished,
random_vs_heuristic,66,1797208407,random,heuristic,0,12,145,finished,
random_vs_heuristic,67,24132567,random,heuristic,0,13,184,finished,
random_vs_heuristic,68,1113648168,random,heuristic,0,12,163,finished,
random_vs_heuristic,69,389050447,random,heuristic,0,11,117,finished,
random_vs_heuristic,70,764637456,random,heuristic,0,16,175,finished,
random_vs_heuristic,71,1750564159,random,heuristic,0,12,126,finished,
random_vs_heuristic,72,2147334168,random,heuristic,0,14,183,finished,
random_vs_heuristic,73,2028254378,random,heuristic,0,12,138,finished,
random_vs_heuristic,74,1806741435,random,heuristic,0,12,154,finished,
random_vs_heuristic,75,1118946483,random,heuristic,0,16,175,finished,
random_vs_heuristic,76,593167639,random,heuristic,0,12,158,finished,
random_vs_heuristic,77,1939411869,random,heuristic,0,14,159,finished,
random_vs_heuristic,78,116919936,random,heuristic,0,13,166,finished,
random_vs_heuristic,79,61125718,random,heuristic,0,11,125,finished,
random_vs_heuristic,80,1404655612,random,heuristic,0,15,182,finished,
random_vs_heuristic,81,1424475141,random,heuristic,0,11,143,finished,
random_vs_heuristic,82,1260398746,random,heuristic,0,15,179,finished,
random_vs_heuristic,83,15268434,random,heuristic,1,11,159,finished,
random_vs_heuristic,84,993905463,random,heuristic,0,11,143,finished,
random_vs_heuristic,85,213392070,random,heuristic,0,10,147,finished,
random_vs_heuristic,86,415962157,random,heuristic,0,14,196,finished,
random_vs_heuristic,87,1408344340,random,heuristic,0,12,155,finished,
random_vs_heuristic,88,89478547,random,heuristic,0,10,119,finished,
random_vs_heuristic,89,468724785,random,heuristic,0,12,181,finished,
random_vs_heuristic,90,1051307971,random,heuristic,0,14,157,finished,
random_vs_heuristic,91,1184037759,random,heuristic,1,10,134,finished,
random_vs_heuristic,92,178093889,random,heuristic,0,13,141,finished,
random_vs_heuristic,93,816548766,random,heuristic,1,9,123,finished,
random_vs_heuristic,94,748637692,random,heuristic,0,13,171,finished,
random_vs_heuristic,95,1743803288,random,heuristic,0,11,139,finished,
random_vs_heuristic,96,882809866,random,heuristic,0,11,166,finished,
random_vs_heuristic,97,804730778,random,heuristic,0,12,104,finished,
random_vs_heuristic,98,260778328,random,heuristic,0,12,147,finished,
random_vs_heuristic,99,537801790,random,heuristic,0,11,136,finished,
random_vs_heuristic,100,1013098554,random,heuristic,0,13,173,finished,
heuristic_vs_heuristic,1,1594463272,heuristic,heuristic,0,13,147,finished,
heuristic_vs_heuristic,2,316659339,heuristic,heuristic,1,9,95,finished,
heuristic_vs_heuristic,3,1949862049,heuristic,heuristic,0,12,183,finished,
heuristic_vs_heuristic,4,178566209,heuristic,heuristic,0,12,133,finished,
heuristic_vs_heuristic,5,1746881613,heuristic,heuristic,1,10,127,finished,
heuristic_vs_heuristic,6,1750307620,heuristic,heuristic,0,12,154,finished,
heuristic_vs_heuristic,7,1052061109,heuristic,heuristic,0,12,149,finished,
heuristic_vs_heuristic,8,1866958825,heuristic,heuristic,0,12,147,finished,
heuristic_vs_heuristic,9,722672497,heuristic,heuristic,0,14,167,finished,
heuristic_vs_heuristic,10,1972489984,heuristic,heuristic,0,12,141,finished,
heuristic_vs_heuristic,11,990821561,heuristic,heuristic,0,13,160,finished,
heuristic_vs_heuristic,12,806163188,heuristic,heuristic,0,11,150,finished,
heuristic_vs_heuristic,13,9109358,heuristic,heuristic,0,14,140,finished,
heuristic_vs_heuristic,14,2012943413,heuristic,heuristic,0,14,176,finished,
heuristic_vs_heuristic,15,1048994471,heuristic,heuristic,1,11,132,finished,
heuristic_vs_heuristic,16,277406765,heuristic,heuristic,0,16,197,finished,
heuristic_vs_heuristic,17,1562633361,heuristic,heuristic,1,11,156,finished,
heuristic_vs_heuristic,18,110900946,heuristic,heuristic,1,13,199,finished,
heuristic_vs_heuristic,19,70946631,heuristic,heuristic,0,14,155,finished,
heuristic_vs_heuristic,20,55958342,heuristic,heuristic,0,13,158,finished,
heuristic_vs_heuristic,21,183012914,heuristic,heuristic,0,13,156,finished,
heuristic_vs_heuristic,22,1500531475,heuristic,heuristic,0,13,186,finished,
heuristic_vs_heuristic,23,913470888,heuristic,heuristic,0,12,147,finished,
heuristic_vs_heuristic,24,597275747,heuristic,heuristic,0,15,183,finished,
heuristic_vs_heuristic,25,651148359,heuristic,heuristic,0,10,118,finished,
heuristic_vs_heuristic,26,653203558,heuristic,heuristic,0,12,181,finished,
heuristic_vs_heuristic,27,1329107203,heuristic,heuristic,0,14,181,finished,
heuristic_vs_heuristic,28,998149744,heuristic,heuristic,0,11,146,finished,
heuristic_vs_heuristic,29,1145264121,heuristic,heuristic,0,13,157,finished,
heuristic_vs_heuristic,30,1663320694,heuristic,heuristic,0,13,165,finished,
heuristic_vs_heuristic,31,1614793423,heuristic,heuristic,0,12,160,finished,
heuristic_vs_heuristic,32,13805696,heuristic,heuristic,0,13,159,finished,
heuristic_vs_heuristic,33,241285743,heuristic,heuristic,1,9,112,finished,
heuristic_vs_heuristic,34,1880442824,heuristic,heuristic,0,13,160,finished,
heuristic_vs_heuristic,35,375528377,heuristic,heuristic,0,14,199,finished,
heuristic_vs_heuristic,36,545146805,heuristic,heuristic,0,11,149,finished,
heuristic_vs_heuristic,37,39403123,heuristic,heuristic,0,13,159,finished,
heuristic_vs_heuristic,38,500416258,heuristic,heuristic,0,11,141,finished,
heuristic_vs_heuristic,39,2057459101,heuristic,heuristic,0,13,172,finished,
heuristic_vs_heuristic,40,1776691169,heuristic,heuristic,0,10,100,finished,
heuristic_vs_heuristic,41,503546789,heuristic,heuristic,0,16,168,finished,
heuristic_vs_heuristic,42,1935732503,heuristic,heuristic,0,13,161,finished,
heuristic_vs_heuristic,43,389227545,heuristic,heuristic,0,14,162,finished,
heuristic_vs_heuristic,44,1015443001,heuristic,heuristic,0,10,147,finished,
heuristic_vs_heuristic,45,1961498826,heuristic,heuristic,0,10,126,finished,
heuristic_vs_heuristic,46,1640905427,heuristic,heuristic,0,13,143,finished,
heuristic_vs_heuristic,47,770097766,heuristic,heuristic,0,11,145,finished,
heuristic_vs_heuristic,48,1843766250,heuristic,heuristic,1,11,139,finished,
heuristic_vs_heuristic,49,1074026674,heuristic,heuristic,0,12,209,finished,
heuristic_vs_heuristic,50,618647067,heuristic,heuristic,0,11,105,finished,
heuristic_vs_heuristic,51,845209746,heuristic,heuristic,0,11,153,finished,
heuristic_vs_heuristic,52,571132991,heuristic,heuristic,0,13,190,finished,
heuristic_vs_heuristic,53,129648649,heuristic,heuristic,0,15,184,finished,
heuristic_vs_heuristic,54,1988553027,heuristic,heuristic,0,11,128,finished,
heuristic_vs_heuristic,55,908440794,heuristic,heuristic,0,15,207,finished,
heuristic_vs_heuristic,56,327320025,heuristic,heuristic,0,12,184,finished,
heuristic_vs_heuristic,57,1406567070,heuristic,heuristic,1,11,137,finished,
heuristic_vs_heuristic,58,1305258251,heuristic,heuristic,0,13,156,finished,
heuristic_vs_heuristic,59,1691039097,heuristic,heuristic,0,12,176,finished,
heuristic_vs_heuristic,60,398449252,heuristic,heuristic,0,12,146,finished,
heuristic_vs_heuristic,61,788503098,heuristic,heuristic,0,14,191,finished,
heuristic_vs_heuristic,62,1440812633,heuristic,heuristic,0,13,159,finished,
heuristic_vs_heuristic,63,302505944,heuristic,heuristic,0,12,134,finished,
heuristic_vs_heuristic,64,1742366351,heuristic,heuristic,0,13,178,finished,
heuristic_vs_heuristic,65,540532096,heuristic,heuristic,0,14,169,finished,
heuristic_vs_heuristic,66,1847761022,heuristic,heuristic,0,15,166,finished,
heuristic_vs_heuristic,67,1623713177,heuristic,heuristic,0,11,150,finished,
heuristic_vs_heuristic,68,445754367,heuristic,heuristic,1,11,157,finished,
heuristic_vs_heuristic,69,1333311227,heuristic,heuristic,0,14,195,finished,
heuristic_vs_heuristic,70,1128110653,heuristic,heuristic,0,12,141,finished,
heuristic_vs_heuristic,71,713309619,heuristic,heuristic,0,14,182,finished,
heuristic_vs_heuristic,72,398430525,heuristic,heuristic,1,9,121,finished,
heuristic_vs_heuristic,73,604861636,heuristic,heuristic,0,12,143,finished,
heuristic_vs_heuristic,74,1707355702,heuristic,heuristic,0,13,132,finished,
heuristic_vs_heuristic,75,1445133899,heuristic,heuristic,0,13,181,finished,
heuristic_vs_heuristic,76,376989004,heuristic,heuristic,0,13,136,finished,
heuristic_vs_heuristic,77,603956494,heuristic,heuristic,0,15,212,finished,
heuristic_vs_heuristic,78,2118000046,heuristic,heuristic,0,15,191,finished,
heuristic_vs_heuristic,79,1827967480,heuristic,heuristic,0,14,180,finished,
heuristic_vs_heuristic,80,1505576109,heuristic,heuristic,0,13,140,finished,
heuristic_vs_heuristic,81,1982710251,heuristic,heuristic,0,12,195,finished,
heuristic_vs_heuristic,82,509967144,heuristic,heuristic,0,14,178,finished,
heuristic_vs_heuristic,83,505847051,heuristic,heuristic,0,13,119,finished,
heuristic_vs_heuristic,84,2080455515,heuristic,heuristic,0,10,130,finished,
heuristic_vs_heuristic,85,1340694577,heuristic,heuristic,0,13,161,finished,
heuristic_vs_heuristic,86,1698505233,heuristic,heuristic,0,14,198,finished,
heuristic_vs_heuristic,87,1432967748,heuristic,heuristic,0,12,168,finished,
heuristic_vs_heuristic,88,1278848336,heuristic,heuristic,0,12,153,finished,
heuristic_vs_heuristic,89,1375357984,heuristic,heuristic,0,12,152,finished,
heuristic_vs_heuristic,90,1270922054,heuristic,heuristic,0,14,176,finished,
heuristic_vs_heuristic,91,467830013,heuristic,heuristic,0,12,166,finished,
heuristic_vs_heuristic,92,1868517548,heuristic,heuristic,0,12,136,finished,
heuristic_vs_heuristic,93,1091562167,heuristic,heuristic,0,13,150,finished,
heuristic_vs_heuristic,94,1304600725,heuristic,heuristic,1,11,162,finished,
heuristic_vs_heuristic,95,335652763,heuristic,heuristic,0,11,153,finished,
heuristic_vs_heuristic,96,696310031,heuristic,heuristic,0,13,163,finished,
heuristic_vs_heuristic,97,219548702,heuristic,heuristic,0,13,169,finished,
heuristic_vs_heuristic,98,1400143242,heuristic,heuristic,0,13,174,finished,
heuristic_vs_heuristic,99,1093857279,heuristic,heuristic,0,12,175,finished,
heuristic_vs_heuristic,100,1464751024,heuristic,heuristic,1,11,134,finished,
