pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
heuristic_vs_random,7,A,631294356,heuristic,random,D001,D002,0,heuristic,D001,11,144,finished,
heuristic_vs_random,7,B,631294356,heuristic,random,D002,D001,1,random,D001,13,189,finished,
heuristic_vs_random,8,A,134277605,heuristic,random,D001,D002,0,heuristic,D001,7,99,finished,
heuristic_vs_random,8,B,134277605,heuristic,random,D002,D001,0,heuristic,D002,8,132,finished,
heuristic_vs_random,9,A,1229281592,heuristic,random,D001,D002,0,heuristic,D001,11,163,finished,
heuristic_vs_random,9,B,1229281592,heuristic,random,D002,D001,0,heuristic,D002,10,152,finished,
heuristic_vs_random,10,A,310019857,heuristic,random,D001,D002,0,heuristic,D001,8,119,finished,
heuristic_vs_random,10,B,310019857,heuristic,random,D002,D001,0,heuristic,D002,7,102,finished,
heuristic_vs_random,11,A,1278248550,heuristic,random,D001,D002,0,heuristic,D001,8,97,finished,
heuristic_vs_random,11,B,1278248550,heuristic,random,D002,D001,0,heuristic,D002,11,202,finished,
heuristic_vs_random,12,A,122956573,heuristic,random,D001,D002,0,heuristic,D001,15,179,finished,
heuristic_vs_random,12,B,122956573,heuristic,random,D002,D001,0,heuristic,D002,9,111,finished,
heuristic_vs_random,13,A,1312258500,heuristic,random,D001,D002,0,heuristic,D001,10,126,finished,
heuristic_vs_random,13,B,1312258500,heuristic,random,D002,D001,0,heuristic,D002,10,178,finished,
heuristic_vs_random,14,A,574796468,heuristic,random,D001,D002,0,heuristic,D001,11,155,finished,
heuristic_vs_random,14,B,574796468,heuristic,random,D002,D001,0,heuristic,D002,12,187,finished,
heuristic_vs_random,15,A,14965643,heuristic,random,D001,D002,0,heuristic,D001,8,113,finished,
heuristic_vs_random,15,B,14965643,heuristic,random,D002,D001,0,heuristic,D002,7,105,finished,
heuristic_vs_random,16,A,293671094,heuristic,random,D001,D002,0,heuristic,D001,7,104,finished,
heuristic_vs_random,16,B,293671094,heuristic,random,D002,D001,0,heuristic,D002,8,133,finished,
heuristic_vs_random,17,A,1879652663,heuristic,random,D001,D002,0,heuristic,D001,8,80,finished,
heuristic_vs_random,17,B,1879652663,heuristic,random,D002,D001,0,heuristic,D002,9,143,finished,
heuristic_vs_random,18,A,596277703,heuristic,random,D001,D002,0,heuristic,D001,9,134,finished,
heuristic_vs_random,18,B,596277703,heuristic,random,D002,D001,1,random,D001,12,207,finished,
heuristic_vs_random,19,A,1786398673,heuristic,random,D001,D002,0,heuristic,D001,8,114,finished,
heuristic_vs_random,19,B,1786398673,heuristic,random,D002,D001,0,heuristic,D002,9,137,finished,
heuristic_vs_random,20,A,1784180292,heuristic,random,D001,D002,0,heuristic,D001,7,117,finished,
heuristic_vs_random,20,B,1784180292,heuristic,random,D002,D001,0,heuristic,D002,6,103,finished,
heuristic_vs_random,21,A,1460132337,heuristic,random,D001,D002,0,heuristic,D001,10,125,finished,
heuristic_vs_random,21,B,1460132337,heuristic,random,D002,D001,0,heuristic,D002,10,158,finished,
heuristic_vs_random,22,A,511545150,heuristic,random,D001,D002,0,heuristic,D001,10,120,finished,
heuristic_vs_random,22,B,511545150,heuristic,random,D002,D001,0,heuristic,D002,9,103,finished,
heuristic_vs_random,23,A,71906084,heuristic,random,D001,D002,0,heuristic,D001,13,216,finished,
heuristic_vs_random,23,B,71906084,heuristic,random,D002,D001,0,heuristic,D002,13,189,finished,
heuristic_vs_random,24,A,254887740,heuristic,random,D001,D002,0,heuristic,D001,10,146,finished,
heuristic_vs_random,24,B,254887740,heuristic,random,D002,D001,0,heuristic,D002,12,208,finished,
heuristic_vs_random,25,A,608578901,heuristic,random,D001,D002,0,heuristic,D001,7,80,finished,
heuristic_vs_random,25,B,608578901,heuristic,random,D002,D001,0,heuristic,D002,6,85,finished,
heuristic_vs_random,26,A,286696517,heuristic,random,D001,D002,0,heuristic,D001,9,112,finished,
